a2_1,a2v_1,a2_2,a2v_2
-1.1105,-0.0185292,-1.11053,-0.0185255
-1.1114,-0.0181772,-1.11144,-0.0181731
-1.1123,-0.0179919,-1.11234,-0.0179874
-1.1132,-0.0179653,-1.11324,-0.0179604
-1.11411,-0.0180889,-1.11414,-0.0180837
-1.11502,-0.018354,-1.11506,-0.0183485
-1.11596,-0.0187517,-1.116,-0.0187459
-1.11693,-0.0192726,-1.11696,-0.0192667
-1.11792,-0.0199076,-1.11796,-0.0199014
-1.11895,-0.0206472,-1.11899,-0.0206409
-1.12003,-0.0214822,-1.12006,-0.0214758
-1.12115,-0.0224035,-1.12118,-0.022397
-1.12232,-0.0234019,-1.12235,-0.0233953
-1.12354,-0.0244687,-1.12358,-0.0244621
-1.12482,-0.0255954,-1.12485,-0.0255888
-1.12616,-0.0267737,-1.12619,-0.0267671
-1.12756,-0.0279957,-1.12759,-0.0279892
-1.12902,-0.029254,-1.12905,-0.0292475
-1.13055,-0.0305414,-1.13058,-0.0305349
-1.13214,-0.0318511,-1.13217,-0.0318447
-1.1338,-0.0331767,-1.13383,-0.0331705
-1.13553,-0.0345124,-1.13556,-0.0345063
-1.13732,-0.0358526,-1.13735,-0.0358466
-1.13918,-0.0371921,-1.13921,-0.0371862
-1.1411,-0.0385262,-1.14114,-0.0385205
-1.1431,-0.0398506,-1.14313,-0.039845
-1.14516,-0.0411612,-1.14519,-0.0411558
-1.14728,-0.0424545,-1.14731,-0.0424492
-1.14946,-0.0437271,-1.14949,-0.0437219
-1.15171,-0.044976,-1.15174,-0.044971
-1.15402,-0.0461986,-1.15405,-0.0461937
-1.15639,-0.0473926,-1.15642,-0.0473879
-1.15882,-0.0485558,-1.15885,-0.0485513
-1.1613,-0.0496865,-1.16133,-0.0496821
-1.16384,-0.050783,-1.16387,-0.0507788
-1.16644,-0.0518441,-1.16646,-0.0518399
-1.16908,-0.0528685,-1.16911,-0.0528645
-1.17177,-0.0538553,-1.1718,-0.0538515
-1.17451,-0.0548039,-1.17454,-0.0548001
-1.1773,-0.0557135,-1.17733,-0.0557099
-1.18013,-0.0565839,-1.18015,-0.0565804
-1.183,-0.0574146,-1.18303,-0.0574112
-1.18591,-0.0582056,-1.18594,-0.0582024
-1.18886,-0.0589569,-1.18888,-0.0589538
-1.19184,-0.0596686,-1.19187,-0.0596655
-1.19486,-0.0603408,-1.19488,-0.0603378
-1.19791,-0.0609739,-1.19793,-0.060971
-1.20098,-0.0615682,-1.20101,-0.0615654
-1.20409,-0.0621243,-1.20412,-0.0621215
-1.20722,-0.0626426,-1.20725,-0.0626399
-1.21038,-0.0631239,-1.2104,-0.0631212
-1.21356,-0.0635687,-1.21358,-0.0635661
-1.21676,-0.0639778,-1.21678,-0.0639752
-1.21997,-0.064352,-1.22,-0.0643495
-1.22321,-0.0646921,-1.22323,-0.0646896
-1.22646,-0.064999,-1.22648,-0.0649965
-1.22972,-0.0652736,-1.22975,-0.0652711
-1.233,-0.0655168,-1.23302,-0.0655143
-1.23628,-0.0657296,-1.23631,-0.0657271
-1.23958,-0.0659131,-1.2396,-0.0659105
-1.24288,-0.0660681,-1.24291,-0.0660656
-1.24619,-0.0661959,-1.24622,-0.0661933
-1.24951,-0.0662973,-1.24953,-0.0662947
-1.25283,-0.0663736,-1.25285,-0.0663709
-1.25615,-0.0664258,-1.25617,-0.0664231
-1.25947,-0.066455,-1.25949,-0.0664522
-1.26279,-0.0664624,-1.26282,-0.0664595
-1.26612,-0.0664491,-1.26614,-0.0664461
